user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/kalashnikov78/,1,14.8 hrs on record,"
				68 of 73 people (93%) found this review helpful2 people found this review funny			","
Posted: October 3, 2014
Early Access Review
								Steam Squad.What it is: Squad based turn strategy game, with a Steam Punk, cartoonish WWI setting.PROS: Solid game mechanics. Easy to learn yet tactic gameplay. Beautiful graphics. Nice, interesting story and setting. Great steam mechas (planes and tanks), that will be usable in the final release (according to developers) Mele weapons! Bring out the pitchforks!! The developer is VERY involved in the forums, and many of the bugs/fixes/changes adressed there have been taken care of. The developer promised to work on a modding extension after the release.  Battlecam!! It has been implemented and works great, with a depth of field effect and nice color correction, that gives an old film feeling. Great!CONS: Gameplay feels a little light, specially if you compare it to old school tbs games like Silent Storm, JA2 or Fallout tactics. Hopefully the tank play will compensate that. In order to make the gameplay more fluid, prone/kneel/stand positions have been changed to a more fluid ""kneel while standing still, stand while running/shooting for cover - no prone"" mechanics. More fluid, but also lighter.What I LIKE: Setting. Graphics and game concept. Game mechanics. Full ballistics engine. Destroyable enviroment (promised by developers, not yet implemented). Interactive fauna. Graphical display of Action Points, both in the small valve like dial, and in the movement line, where it shows you in easy to read green-amber-red tones how far your character can move before running out of AP. Part of the game is developed in  Blender, which is Free and Open Source Software, and it's released for linux.  "
http://steamcommunity.com/id/Gamephasis/,1,8.1 hrs on record,"
				28 of 32 people (88%) found this review helpful1 person found this review funny			","
Posted: August 11, 2016
What is Steam Squad?Steam Squad is a tactical, turn-based strategy game that places you in control of a squad. The game occurs in a world that is vastly different to the one we know today. The developers at Bretwalda Games have reached alternative conclusions to many of the outcomes that have shaped the modern world. These conclusions include:The British never losing control over the United StatesThe Tianxian Empire colonizing Siberia before RussiaThe Gao (Chinese) colonizing Australia instead of the BritishIt is because of these game setting decisions that I found myself deeply fascinated with it before I began to play.Poor/Inconsistent AIArguably the biggest negative effecting Steam Squad is the unpredictability of the AI. More often than not I would argue that unpredictability is a key strength. However, in this instance, there are enemy soldiers who are able to kill you from the other side of the world. On the other hand, there are soldiers who would make the perfect candidates for hired the Empire to employ as Stormtroopers. I believe that this is a problem with the RNG.This isn't simply a case of the AI getting better as the levels become more difficult. I could understand if it were a case of the game proclaiming you to be becoming too good for it and ramping up the difficulty. Unfortunately, it isn't and it appears to be this way throughout the game. And when you do replay a level it isn't the same enemy that has the same ability. As a result, I am left to conclude that randomization can be good is good but not if it comes at the cost of poor AI.Streamlined Gameplay MechanicsSteam Squad has a tendency to feel very streamlined as far as turn-based strategy games go. The classics seem to have much greater depth and variety to the gameplay. However, I wouldn't necessarily mark this as a negative against the game for everyone. If you've played the classics and want something a little less hardcore then this game would be very suitable for you. Likewise, if you are new to the genre and some of the older titles feel too daunting then this is the game for you. In other words, it has the potential to be a great gateway game. Consequently, I believe that it is sometimes games such as this that offer sufficient challenge but are not too full on that provide the gameplay that we need.User Interface and GraphicsIn my experience, I have found that some of the games that are too daunting are because of their user interface. In the case of Steam Squad the developers need to be applauded. This is because UI is very player friendly. It has been well thought out and ultimately implemented to perfection. Of particular note are the way in which action points are displayed. There are multiple points where this is displayed. The first is in the soldier's status which is located immediately below the soldier. The second is in the UI which is also where you can set the number of AP that you will use per move. I believe that if you set it to a higher amount accuracy will tail off slightly and increase if you set it to a lower number. Consequently, this has a significant impact on the strategy employed.In other aspects of the game, I was both pleased and frustrated with the graphics. Perhaps cover is the most frustrating aspect of the graphical display. It can be frustrating to believe that you are in cover only to find out that you are not. As a result, I learned to err on the side of caution and to believe that my soldiers were not in cover. Sometimes they were and that was great but it wasn't always the case. I would recommend taking this strategy. Otherwise, the game is very pleasing on the eyes and accomplishes what it sets out to do.Is it Steamified?The developers have done their job in regards to making their game Steamified. They have added both trading cards and Steam achievements.VerdictIf you're a fan of alternative world histories and strategy games then Steam Squad is the game for you. I believe that the developers are committed to correcting the issue with the AI. Everything else runs fine. The presentation is pretty and well presented. It's a solid game by a small indie studio and they should be proud of their effort.For similar reviews and your chance to win great giveaways, including PC hardware, please visit Steamified[www.steamified.com] "
http://steamcommunity.com/id/Ciciro/,1,1.0 hrs on record,"
				48 of 70 people (69%) found this review helpful3 people found this review funny			","
Posted: June 2, 2014
Early Access Review
								I disagree with many of the complaints being written here, because they forget this is not a complete. Its a beta, so don't expect all those features to be implemented just yet. When you expect a game in its Beta build to be fantastic, youll only end up disapointed. Take Kenshi as an example. I've been following Kenshi for years, ever since version .2. It was a terrible game back then, with no base building, no crafting, just a bunch of dudes swinging swords. But I didnt not immediately dismiss it, saying the music was terrible (because there was no music), or the AI was the dumbest I had ever seen (because it was) or the fact the it was incredibly ugly (God was it ugly). No, because I did not expect a complete game. I liked what the premise of the game was, so I backed the developer so they could further expand the game into what they wanted it to be. That being said, the game still needs to have a little bit of work done. But as it is in Beta .3, I can forgive many of the faults I find in it. The music is ok. Not great, but not terrible. The only major complaint I have had thus far is the damn whistleing. And when the biggest fault you can find in a game is the fact they sometimes whistle the begining of the Indian Jones theme song, It cant be that bad of a game.			"
http://steamcommunity.com/profiles/76561198085659223/,1,20.1 hrs on record,"
				16 of 22 people (73%) found this review helpful1 person found this review funny			","
Posted: December 9, 2014
Early Access Review
								Steam squad is a very nice game with very interesting historic backend. How would have gone the history, if some historical events had not been like the ones which had taken place? What if the USA had still been a colony of Great Britain? For people who like me loves history it can be very attractive try to find out the answers to such questions. This game will try to answer some of them. And as soon as it tells us about the Great War we also will find a lot of new about this epoch.Speaking about the gameplay. This game is a tactic game, I don't play a lot of games of such genre, but it took me a little time to understand the mechanics of Steam Squad, so I feel pleasure in it. As soon as this is an early access, there are still a lot of things, which one can improve. But the guys make a great progress from version to version, so I hope the release version could be great.I liked the style of the game, the historical backend, the authenticity of the epoch, the game engine, the music.The things I think the guys should work on is the AI. It could be better.			"
http://steamcommunity.com/profiles/76561198259457981/,1,87.3 hrs on record,"
				9 of 11 people (82%) found this review helpful			","
Posted: May 27, 2016
Early Access Review
								As a great fan of turn based strategies and everything related to Great war, I have been following developing of this game since its campaign at Kickstarter for a year or so, waiting for it to become usable and interesting. Finally after recent updates - being able to equip its own squad and use heavy machinery, decided to go for into playing in it. If to summarize its pros and contras, here they are:Difficult to accomplish missions if you do not play accurately and smart. Soldiers are killed with 1-2 shots or grenade and you have just few of them - like it when it is hard :-)Good looking and high quality graphics, music, game mechanics etc;Updates are coming every week and as it have been told by developers it is scheduled to be ready in full this summer already. Feels like it is progressing fast to be finalized;Cons: Still too few missions :-( and only one is so far with tanks and artillery; Quite many of the iconic symbols of Great War are missing - barbed wire, gas, cavalry attacks...or at least I did not see it yet - did not find info from developers if they plan to have it			"
http://steamcommunity.com/profiles/76561198023507159/,1,2.9 hrs on record,"
				12 of 13 people (92%) found this review helpful			","
Posted: August 14, 2016
												For a turn-based squad game there is enough for me to recommend it.  * It incorporates action points well* The maps are interesting* Units are role based rather then stat based* It has freaking opportunity fire!* The alt history makes the engagements interesting and funThat said, the UI is a bit rough and lacks pollish.  Graphically, it's a bit jarring, but completely serviceable.  If you can get past those warts, the game has many gameplay delights to offer.  "
http://steamcommunity.com/id/denofevil/,1,38.5 hrs on record,"
				9 of 9 people (100%) found this review helpful			","
Posted: August 1, 2016
												Turn based wargame set in altenative steam-punk WWI universe. Made with a great respect to the old-school games, while it's relatively simple on the first missions, it becomes harder as you advance. Gameplay became much better since EA version with introduction of user controlled vehicles and stationary weapons.			"
http://steamcommunity.com/profiles/76561197979260961/,1,27.8 hrs on record,"
				13 of 17 people (76%) found this review helpful1 person found this review funny			","
Posted: October 8, 2014
Early Access Review
								This is a updated review as of 11-5-14The UI ""was"" awful, Its much better now with new update. It still has poor sound that is very muffled.  It now has better conveyance of who is firing or being fired on.  The camera got a major overhaul. The pan smothing is much better now. When someone does get killed they just slump.   This game does have potential and is getting better.  This is a updated review as of 11-5-14			"
http://steamcommunity.com/id/nightmorph/,1,19.6 hrs on record,"
				14 of 19 people (74%) found this review helpful1 person found this review funny			","
Posted: October 24, 2014
Early Access Review
-Recommended Title-Steam Squad is a ""Steampunk"" Turn Based Strategy game, currently available as early access  (in Beta - currently v0.371b)Whilst the game is based on ""The Great War"", it's historical content does not include the Entente and Central Powers forces per se, but the British and ""Exotic Asian"" (Han) forces instead, this dynamic is interesting - and refreshing and sets a very plausible scene.


First Mission - Gameplay 
A Screenshot of Steam Squad
By: NightMorph




The main character in the story is a British Captain - Ken Whitehall, and his troop of ""Gentlemen"", whom are battling the ""Han"". The storyline follows Ken and his men, through different missions as they undertake the battle and stop the march of the Han.Versions:0.31 June 20140.32 July 20140.371b October 2014 0.40b November 20140.41b December 2014 View latest changelogThe graphics in Steam Squad are still being developed, they are similar to Men of War in it's current state. The artwork is interesting and fun, with of course a steampunk look. The Gameplay is the typical turn based type, where you get to move your troops into position, fire at the enemy and then end the turn,waiting for the enemy to make their move. As always, placement of the troops is important, as the Han are very good shooters!Steam Squad will include tanks, artillery and other ""steam"" powered instuments of war ,which will be drivable. This increases the playability value - and turns this game from a typical strategy shooter. Destructable environments are currently not included, but will be at a later date.


Steam Squad concept art - Tank 
Community Created Artwork for Steam Artwork
By: NightMorph

			Artwork created and supplied by Bretwalda Games		


There is no ability to control the camera - other than panning (zoom is not enabled), and the camera does not focus on the enemy when they take their turn. I believe that some camera tweaks are being worked on and will be released in a later version. The camera view is dimetric. **Update v 0.371**  The camera now follows the actions of the player and npcs. It also includes the zoom function. These improvements have made a big difference to gameplay.The UI looks great, but again, some work needs to be done on this to make it more polished and easier to use. Having said that, it does not stop you being able to have an enjoyable game.**Update v 0.371** There have been tweaks made to the UI, both in the main menu, mission selection, and gameplay screens.The music is ok, the  background effects lack the atmosphere of explosions and gun fire. . more needs to be done with improving the audio emmersion.Overall, Steam Squad performs very well, and is not a walk in the park to play. It's an early beta, so expect that there are going to be things that are missing, don't work, or need improvement. The developer - Bretwalda Games - is constantly working on Steam Squad with an further update v 0.371 just released.I think that there is plenty of room for Great War era games such as this, in a overly populated Second World War gaming universe. I recommend Steam Squad, even in it's current Beta build, it shows great potential, and whilst Bretwalda Games are a relatively new company on the scene, the quality of their work, and commitment to ensuring that the comunity voice is heard equates to what I hope is a very successful game.Definately a strategy title to add to the collection at under $10 doleros, if you don't mind putting up with a few annoyances along the beta journey, until release. And help support smaller develop studio's.7/10			"
http://steamcommunity.com/id/sail8r/,1,174.4 hrs on record,"
				11 of 14 people (79%) found this review helpful1 person found this review funny			","
Posted: May 12, 2015
Early Access Review
								I would recommend this game for those who like turn-based strategy games. I like graphics and the story very much. The game is stable although it is yet an early beta and I had a lot of fun playing the first mission. According to developers, they are going to add vehicles and cannons soon. I'm waiting for these additions and wish to developers a good luck with all new features.			"
